DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
22,2022,12,AlphaTauri,20.0,8.0,92.78,16.0,15.0,0.9999999999999978,7.888000000000005
23,2022,12,Williams,13.0,15.0,93.307,12.0,15.333333333333334,4.509249752822896,8.415000000000006
24,2022,12,Alfa Romeo,16.0,18.0,93.674,14.0,15.666666666666666,1.5275252316519505,8.78200000000001
31,2022,12,Alpine,8.0,12.0,93.048,5.0,14.0,5.291502622129181,8.156000000000006
44,2022,12,Mercedes,2.0,4.0,91.765,3.0,4.0,0.0,6.873000000000005
47,2022,12,Haas F1 Team,15.0,19.0,93.701,6.0,11.333333333333334,7.571877794400369,8.808999999999997
55,2022,12,Ferrari,5.0,9.0,91.081,20.0,10.333333333333334,8.7368949480541,6.189000000000007
63,2022,12,Mercedes,3.0,6.0,92.131,4.0,4.0,2.645751311064582,7.239000000000004
77,2022,12,Alfa Romeo,14.0,13.0,93.034,11.0,13.0,2.6457513110645925,8.14200000000001
1,2022,13,Red Bull Racing,1.0,10.0,77.703,1.0,2.6666666666666665,2.0816659994661393,7.13600000000001
3,2022,13,McLaren,15.0,9.0,78.198,9.0,12.666666666666666,3.5118845842842465,7.631
4,2022,13,McLaren,7.0,4.0,77.769,7.0,3.6666666666666665,3.0550504633038953,7.202000000000012
5,2022,13,Aston Martin,10.0,18.0,79.273,11.0,13.0,6.244997998398397,8.706000000000003
6,2022,13,Williams,18.0,20.0,79.57,20.0,17.333333333333332,4.618802153517005,9.003
10,2022,13,AlphaTauri,12.0,19.0,79.527,12.0,12.333333333333334,7.094598884597584,8.960000000000008
11,2022,13,Red Bull Racing,5.0,11.0,78.516,4.0,7.666666666666667,8.144527815247079,7.949000000000012
14,2022,13,Alpine,8.0,6.0,77.904,6.0,7.333333333333333,2.0816659994661415,7.337000000000003
16,2022,13,Ferrari,6.0,3.0,77.567,20.0,10.333333333333334,6.350852961085884,7.0
18,2022,13,Aston Martin,11.0,14.0,79.137,10.0,7.666666666666667,1.1547005383792517,8.570000000000007
20,2022,13,Haas F1 Team,16.0,13.0,78.825,20.0,15.666666666666666,4.041451884327382,8.25800000000001
22,2022,13,AlphaTauri,19.0,16.0,79.24,20.0,11.666666666666666,2.886751345948129,8.673000000000002
23,2022,13,Williams,17.0,17.0,79.256,13.0,10.333333333333334,3.2145502536643193,8.689000000000007
24,2022,13,Alfa Romeo,13.0,12.0,78.573,16.0,15.666666666666666,2.516611478423587,8.006
31,2022,13,Alpine,9.0,5.0,78.018,8.0,12.333333333333334,4.041451884327386,7.451000000000008
44,2022,13,Mercedes,2.0,7.0,78.035,2.0,3.0,1.7320508075688543,7.4680000000000035
