,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
329,31,2025,13,Haas F1 Team,15.0,11.0,101.525,13.0,10.666666666666666,2.0816659994661317,0.963000000000008
330,31,2025,14,Haas F1 Team,16.0,18.0,76.023,15.0,12.666666666666666,2.5166114784235822,1.1329999999999956
331,31,2025,15,Haas F1 Team,10.0,18.0,70.197,16.0,14.666666666666666,1.5275252316519456,1.5349999999999966
332,31,2025,16,Haas F1 Team,15.0,15.0,79.707,10.0,13.666666666666666,3.214550253664318,0.914999999999992
333,31,2025,17,Haas F1 Team,14.0,20.0,103.004,15.0,13.666666666666666,3.214550253664318,1.8870000000000005
334,31,2025,18,Haas F1 Team,18.0,17.0,90.989,14.0,13.0,2.64575131106459,1.831000000000003
335,31,2025,19,Haas F1 Team,15.0,17.0,94.136,18.0,15.666666666666666,2.081665999466132,1.6259999999999906
336,31,2025,20,Haas F1 Team,9.0,12.0,76.837,15.0,15.666666666666666,2.081665999466132,1.2510000000000048
337,31,2025,21,Haas F1 Team,12.0,17.0,70.438,9.0,14.0,4.58257569495584,0.9270000000000068
338,31,2025,22,Haas F1 Team,9.0,13.0,112.987,12.0,12.0,3.0,5.052999999999997
339,31,2025,23,Haas F1 Team,15.0,17.0,80.864,9.0,10.0,1.7320508075688763,1.477000000000004
340,31,2025,24,Haas F1 Team,7.0,8.0,82.913,15.0,12.0,3.0,0.7060000000000031
341,43,2025,7,Alpine,16.0,15.0,76.256,10.0,16.0,0.0,1.5859999999999983
342,43,2025,8,Alpine,13.0,20.0,72.597,16.0,16.0,0.0,2.6430000000000007
343,43,2025,9,Alpine,15.0,19.0,73.334,13.0,14.5,2.1213203435596424,1.7879999999999967
344,43,2025,10,Alpine,13.0,12.0,72.142,15.0,14.666666666666666,1.5275252316519468,1.242999999999995
345,43,2025,11,Alpine,15.0,14.0,65.278,13.0,13.666666666666666,1.1547005383792512,1.3070000000000093
346,43,2025,12,Alpine,20.0,20.0,87.06,15.0,14.333333333333334,1.1547005383792512,2.1680000000000064
347,43,2025,13,Alpine,19.0,17.0,102.022,20.0,16.0,3.605551275463989,1.460000000000008
348,43,2025,14,Alpine,18.0,14.0,75.875,19.0,18.0,2.6457513110645907,0.9849999999999994
349,43,2025,15,Alpine,11.0,16.0,70.104,18.0,19.0,1.0,1.441999999999993
350,43,2025,16,Alpine,17.0,18.0,79.992,11.0,16.0,4.358898943540674,1.2000000000000028
351,43,2025,17,Alpine,19.0,16.0,102.779,17.0,15.333333333333334,3.7859388972001824,1.661999999999992
352,43,2025,18,Alpine,16.0,16.0,90.982,19.0,15.666666666666666,4.163331998932266,1.823999999999998
353,43,2025,19,Alpine,17.0,15.0,94.039,16.0,17.333333333333332,1.5275252316519474,1.5289999999999964
354,43,2025,20,Alpine,16.0,20.0,77.67,17.0,17.333333333333332,1.5275252316519474,2.084000000000003
355,43,2025,21,Alpine,15.0,18.0,70.632,16.0,16.333333333333332,0.5773502691896263,1.121000000000009
356,43,2025,22,Alpine,15.0,15.0,113.683,15.0,16.0,1.0000000000000004,5.749000000000009
357,43,2025,23,Alpine,14.0,20.0,81.137,15.0,15.333333333333334,0.5773502691896266,1.75
358,43,2025,24,Alpine,20.0,20.0,83.89,14.0,14.666666666666666,0.5773502691896266,1.683000000000007
359,44,2025,1,Ferrari,10.0,8.0,75.919,10.0,10.0,0.0,0.8229999999999933
360,44,2025,2,Ferrari,20.0,5.0,90.927,10.0,10.0,0.0,0.2860000000000013
361,44,2025,3,Ferrari,7.0,8.0,87.61,20.0,15.0,7.071067811865476,0.6269999999999953
362,44,2025,4,Ferrari,5.0,9.0,90.772,7.0,12.333333333333334,6.8068592855540455,0.9310000000000116
363,44,2025,5,Ferrari,7.0,7.0,88.102,5.0,10.666666666666666,8.144527815247077,0.8080000000000069
364,44,2025,6,Ferrari,8.0,12.0,87.006,7.0,6.333333333333333,1.1547005383792457,0.8020000000000067
365,44,2025,7,Ferrari,4.0,12.0,75.765,8.0,6.666666666666667,1.527525231651942,1.0949999999999989
366,44,2025,8,Ferrari,5.0,4.0,70.382,4.0,6.333333333333333,2.081665999466129,0.4280000000000115
367,44,2025,9,Ferrari,6.0,5.0,72.045,5.0,5.666666666666667,2.081665999466129,0.4989999999999952
368,44,2025,10,Ferrari,6.0,5.0,71.526,6.0,5.0,0.9999999999999925,0.6269999999999953
