,DriverNumber,RoundNumber,FastestTime
307,23,16,0 days 00:01:19.583000
308,27,16,0 days 00:01:19.498000
309,30,16,0 days 00:01:20.279000
310,31,16,0 days 00:01:19.707000
311,43,16,0 days 00:01:19.992000
312,44,16,0 days 00:01:19.124000
313,55,16,0 days 00:01:19.528000
314,63,16,0 days 00:01:19.157000
315,81,16,0 days 00:01:18.982000
316,87,16,0 days 00:01:19.446000
317,1,17,0 days 00:01:41.117000
318,4,17,0 days 00:01:41.322000
319,5,17,0 days 00:01:42.277000
320,6,17,0 days 00:01:41.647000
321,10,17,0 days 00:01:43.139000
322,12,17,0 days 00:01:41.464000
323,14,17,0 days 00:01:41.857000
324,16,17,0 days 00:01:41.458000
325,18,17,0 days 00:01:42.101000
326,22,17,0 days 00:01:41.788000
327,23,17,0 days 00:01:43.778000
328,27,17,0 days 00:01:42.916000
329,30,17,0 days 00:01:41.537000
330,31,17,0 days 00:01:43.004000
331,43,17,0 days 00:01:42.779000
332,44,17,0 days 00:01:41.821000
333,55,17,0 days 00:01:41.595000
334,63,17,0 days 00:01:41.455000
335,81,17,0 days 00:01:41.414000
336,87,17,0 days 00:01:42.666000
337,1,18,0 days 00:01:29.340000
338,4,18,0 days 00:01:29.586000
339,5,18,0 days 00:01:30.820000
340,6,18,0 days 00:01:29.846000
341,10,18,0 days 00:01:31.261000
342,12,18,0 days 00:01:29.537000
343,14,18,0 days 00:01:29.955000
344,16,18,0 days 00:01:29.784000
345,18,18,0 days 00:01:30.949000
346,22,18,0 days 00:01:30.353000
347,23,18,0 days 00:01:30.202000
348,27,18,0 days 00:01:30.141000
349,30,18,0 days 00:01:30.320000
350,31,18,0 days 00:01:30.989000
351,43,18,0 days 00:01:30.982000
352,44,18,0 days 00:01:29.688000
353,55,18,0 days 00:01:30.235000
354,63,18,0 days 00:01:29.158000
355,81,18,0 days 00:01:29.524000
356,87,18,0 days 00:01:29.868000
357,1,19,0 days 00:01:32.510000
358,4,19,0 days 00:01:32.801000
359,5,19,0 days 00:01:34.125000
360,10,19,0 days 00:01:33.599000
361,12,19,0 days 00:01:33.044000
362,14,19,0 days 00:01:33.160000
363,16,19,0 days 00:01:32.807000
364,18,19,0 days 00:01:34.540000
365,22,19,0 days 00:01:33.466000
366,23,19,0 days 00:01:34.690000
367,27,19,0 days 00:01:33.334000
368,30,19,0 days 00:01:33.360000
369,31,19,0 days 00:01:34.136000
370,43,19,0 days 00:01:34.039000
371,44,19,0 days 00:01:32.912000
372,55,19,0 days 00:01:33.124000
373,63,19,0 days 00:01:32.826000
374,81,19,0 days 00:01:33.084000
375,87,19,0 days 00:01:33.139000
376,1,20,0 days 00:01:16.070000
377,4,20,0 days 00:01:15.586000
378,5,20,0 days 00:01:17.412000
379,6,20,0 days 00:01:16.252000
380,10,20,0 days 00:01:17.546000
381,12,20,0 days 00:01:16.118000
