DriverNumber,RoundNumber,Position,LastFinish,RollingAverage3,RollingStd3,FastestTime,Delta
30,13,8.0,20.0,15.333333333333334,8.082903768654761,101.297,0.7349999999999994
30,14,8.0,8.0,11.333333333333334,7.571877794400363,75.63,0.7399999999999949
30,15,12.0,8.0,12.0,6.928203230275507,69.383,0.7209999999999894
30,16,14.0,12.0,9.333333333333334,2.3094010767584927,80.279,1.4869999999999948
30,17,5.0,14.0,11.333333333333334,3.055050463303887,101.537,0.4200000000000017
30,18,15.0,5.0,10.333333333333334,4.725815626252603,90.32,1.161999999999992
30,19,11.0,15.0,11.333333333333334,5.5075705472860985,93.36,0.8499999999999943
30,20,20.0,11.0,10.333333333333334,5.033222956847162,76.961,1.375
30,21,7.0,20.0,15.333333333333334,4.509249752822892,69.95,0.43900000000000716
30,22,14.0,7.0,12.666666666666666,6.658328118479391,109.062,1.1280000000000001
30,23,9.0,14.0,13.666666666666666,6.506407098647709,80.433,1.0460000000000065
30,24,18.0,9.0,10.0,3.6055512754639842,83.077,0.8700000000000045
31,1,13.0,,13.0,0.0,77.147,2.051000000000002
31,2,5.0,13.0,13.0,0.0,91.625,0.9839999999999947
31,3,18.0,5.0,9.0,5.656854249492381,88.696,1.7129999999999939
31,4,8.0,18.0,12.0,6.557438524302,91.594,1.7530000000000001
31,5,14.0,8.0,10.333333333333334,6.8068592855540455,89.092,1.7980000000000018
31,6,12.0,14.0,13.333333333333334,5.033222956847166,86.824,0.6200000000000045
31,7,20.0,12.0,11.333333333333334,3.055050463303893,76.613,1.9429999999999978
31,8,7.0,20.0,15.333333333333334,4.163331998932265,70.942,0.9879999999999995
31,9,16.0,7.0,13.0,6.557438524302,73.201,1.654999999999987
31,10,9.0,16.0,14.333333333333334,6.6583281184793925,72.378,1.4789999999999992
31,11,10.0,9.0,10.666666666666666,4.725815626252608,65.364,1.3930000000000078
31,12,13.0,10.0,11.666666666666666,3.785938897200182,85.95,1.058000000000007
31,13,15.0,13.0,10.666666666666666,2.0816659994661313,101.525,0.9630000000000081
31,14,16.0,15.0,12.666666666666666,2.5166114784235827,76.023,1.1329999999999956
31,15,10.0,16.0,14.666666666666666,1.527525231651946,70.197,1.5349999999999966
31,16,15.0,10.0,13.666666666666666,3.214550253664318,79.707,0.914999999999992
31,17,14.0,15.0,13.666666666666666,3.214550253664318,103.004,1.8870000000000005
31,18,18.0,14.0,13.0,2.64575131106459,90.989,1.831000000000003
31,19,15.0,18.0,15.666666666666666,2.081665999466132,94.136,1.6259999999999906
31,20,9.0,15.0,15.666666666666666,2.081665999466132,76.837,1.2510000000000048
31,21,12.0,9.0,14.0,4.58257569495584,70.438,0.9270000000000067
31,22,9.0,12.0,12.0,2.9999999999999996,112.987,5.052999999999997
31,23,15.0,9.0,10.0,1.7320508075688763,80.864,1.4770000000000039
31,24,7.0,15.0,12.0,2.9999999999999996,82.913,0.7060000000000031
43,7,16.0,,16.0,0.0,76.256,1.5859999999999985
43,8,13.0,16.0,16.0,0.0,72.597,2.6430000000000007
43,9,15.0,13.0,14.5,2.1213203435596424,73.334,1.7879999999999967
43,10,13.0,15.0,14.666666666666666,1.5275252316519468,72.142,1.242999999999995
43,11,15.0,13.0,13.666666666666666,1.1547005383792512,65.278,1.3070000000000093
43,12,20.0,15.0,14.333333333333334,1.1547005383792512,87.06,2.1680000000000064
43,13,19.0,20.0,16.0,3.605551275463989,102.022,1.460000000000008
43,14,18.0,19.0,18.0,2.6457513110645907,75.875,0.9849999999999994
43,15,11.0,18.0,19.0,1.0,70.104,1.441999999999993
43,16,17.0,11.0,16.0,4.358898943540674,79.992,1.2000000000000028
43,17,19.0,17.0,15.333333333333334,3.7859388972001824,102.779,1.661999999999992
43,18,16.0,19.0,15.666666666666666,4.163331998932266,90.982,1.823999999999998
43,19,17.0,16.0,17.333333333333332,1.5275252316519476,94.039,1.5289999999999964
