DriverNumber,RoundNumber,Position,LastFinish,RollingAverage3,RollingStd3,FastestTime,Delta
5,16,8.0,15.0,10.0,4.582575694955838,79.323,0.5309999999999917
5,17,11.0,8.0,9.666666666666666,4.725815626252606,102.277,1.1599999999999966
5,18,17.0,11.0,11.333333333333334,3.5118845842842434,90.82,1.661999999999992
5,19,18.0,17.0,12.0,4.582575694955838,94.125,1.6149999999999949
5,20,10.0,18.0,15.333333333333334,3.7859388972001797,77.412,1.8260000000000076
5,21,20.0,10.0,15.0,4.358898943540671,,
5,22,20.0,20.0,16.0,5.291502622129179,116.674,8.740000000000009
5,23,13.0,20.0,16.666666666666668,5.7735026918962555,80.534,1.1470000000000056
5,24,11.0,13.0,17.666666666666668,4.041451884327377,82.874,0.6670000000000016
6,1,20.0,,20.0,0.0,76.175,1.0789999999999935
6,2,11.0,20.0,20.0,0.0,91.079,0.4379999999999882
6,3,8.0,11.0,15.5,6.363961030678928,87.569,0.5859999999999985
6,4,13.0,8.0,13.0,6.244997998398398,91.271,1.4300000000000068
6,5,10.0,13.0,10.666666666666666,2.5166114784235836,88.418,1.1240000000000094
6,6,11.0,10.0,10.333333333333334,2.5166114784235836,86.987,0.7830000000000013
6,7,9.0,11.0,11.333333333333334,1.5275252316519465,75.51,0.8400000000000034
6,8,6.0,9.0,10.0,1.0000000000000002,70.923,0.9690000000000083
6,9,7.0,6.0,8.666666666666666,2.516611478423583,72.252,0.7059999999999889
6,10,16.0,7.0,7.333333333333333,1.5275252316519456,71.867,0.9680000000000035
6,11,12.0,16.0,9.666666666666666,5.507570547286102,65.063,1.0920000000000059
6,12,20.0,12.0,11.666666666666666,4.509249752822894,85.864,0.9720000000000084
6,13,20.0,20.0,16.0,4.0,101.281,0.7190000000000083
6,14,11.0,20.0,17.333333333333332,4.618802153517007,75.469,0.5789999999999935
6,15,3.0,11.0,17.0,5.196152422706633,69.208,0.5459999999999923
6,16,10.0,3.0,11.333333333333334,8.504900548115382,79.917,1.125
6,17,10.0,10.0,8.0,4.358898943540671,101.647,0.5300000000000011
6,18,11.0,10.0,7.666666666666667,4.041451884327378,89.846,0.6880000000000024
6,19,16.0,11.0,10.333333333333334,0.5773502691896184,,
6,20,13.0,16.0,12.333333333333334,3.214550253664318,76.252,0.6659999999999968
6,21,8.0,13.0,13.333333333333334,2.5166114784235836,69.931,0.4200000000000017
6,22,6.0,8.0,12.333333333333334,4.041451884327381,109.554,1.6200000000000045
6,23,18.0,6.0,9.0,3.6055512754639873,80.114,0.7270000000000039
6,24,17.0,18.0,10.666666666666666,6.429100507328637,82.997,0.7900000000000063
7,1,20.0,,20.0,0.0,76.315,1.218999999999994
7,2,13.0,20.0,20.0,0.0,92.092,1.4509999999999934
7,3,15.0,13.0,16.5,4.949747468305833,88.877,1.8939999999999912
7,4,14.0,15.0,16.0,3.605551275463989,91.245,1.4040000000000106
7,5,17.0,14.0,14.0,1.0,88.739,1.4450000000000074
7,6,20.0,17.0,15.333333333333334,1.5275252316519465,87.186,0.9820000000000135
10,1,11.0,,11.0,0.0,75.98,0.8840000000000003
10,2,20.0,11.0,11.0,0.0,91.992,1.350999999999999
10,3,13.0,20.0,15.5,6.363961030678928,87.822,0.8389999999999986
10,4,7.0,13.0,14.666666666666666,4.725815626252608,90.216,0.375
10,5,20.0,7.0,13.333333333333334,6.506407098647712,88.025,0.7310000000000088
10,6,13.0,20.0,13.333333333333334,6.506407098647712,87.71,1.5060000000000002
10,7,13.0,13.0,13.333333333333334,6.506407098647712,75.505,0.8349999999999937
10,8,20.0,13.0,15.333333333333334,4.041451884327381,71.994,2.0400000000000063
10,9,8.0,20.0,15.333333333333334,4.041451884327381,72.199,0.6529999999999916
10,10,15.0,8.0,13.666666666666666,6.027713773341708,72.667,1.7680000000000007
10,11,13.0,15.0,14.333333333333334,6.027713773341708,64.846,0.8750000000000071
10,12,6.0,13.0,12.0,3.60555127546399,85.711,0.8190000000000026
10,13,10.0,6.0,11.333333333333334,4.72581562625261,101.633,1.070999999999998
10,14,19.0,10.0,9.666666666666666,3.511884584284248,75.966,1.0759999999999934
10,15,17.0,19.0,11.666666666666666,6.658328118479393,69.637,0.9749999999999943
10,16,16.0,17.0,15.333333333333334,4.72581562625261,80.103,1.3109999999999928
10,17,18.0,16.0,17.333333333333332,1.5275252316519485,103.139,2.0219999999999914
10,18,19.0,18.0,17.0,1.0000000000000022,91.261,2.1029999999999944
10,19,19.0,19.0,17.666666666666668,1.5275252316519476,93.599,1.0889999999999986
10,20,15.0,19.0,18.666666666666668,0.5773502691896271,77.546,1.960000000000008
